id,match_id,labels,confidence,time_range,heroes,结果,批注
1,8825993964,开雾,0.86,-00:44--00:11,天辉：无；夜魇：拉比克、树精卫士、祈求者、酒仙、风行者,"使用: GLYPH(夜魇) 树精卫士; 进入: 酒仙, 祈求者, 拉比克, 树精卫士, 风行者；位置：中路/河道 raw=(120,152) game=(-1051,3044)",
2,8825993964,开雾,0.86,-00:33--00:11,天辉：小小、巫妖、朗戈、玛尔斯、电炎绝手；夜魇：无,"使用: FLCN(天辉) 巫妖; 进入: 朗戈, 巫妖, 玛尔斯, 电炎绝手, 小小；位置：上路/上半区 raw=(81,146) game=(-6021,2338)",
3,8825993964,控符,0.88,00:00-00:00,"夜魇赏金符点附近： FLCN(天辉)： 无; GLYPH(夜魇)： 风行者, 拉比克, 树精卫士",树精卫士拾取夜魇赏金神符,
4,8825993964,控符,0.88,00:00-00:00,天辉赏金符点附近： FLCN(天辉)： 小小; GLYPH(夜魇)： 无,小小拾取天辉赏金神符,
5,8825993964,控符,0.88,00:00-00:00,"天辉赏金符点附近： FLCN(天辉)： 巫妖, 朗戈; GLYPH(夜魇)： 无",巫妖拾取天辉赏金神符,
6,8825993964,对线分路,0.9,00:00-05:00,天辉：小小；夜魇：无,分路结果：优势路 (bot); 无>1min次要路,
7,8825993964,对线分路,0.9,00:00-05:00,天辉：巫妖；夜魇：无,分路结果：优势路 (bot); 无>1min次要路,
8,8825993964,对线分路,0.9,00:00-05:00,天辉：朗戈；夜魇：无,分路结果：劣势路 (top); 无>1min次要路,
9,8825993964,对线分路,0.9,00:00-05:00,天辉：玛尔斯；夜魇：无,分路结果：劣势路 (top); 无>1min次要路,
10,8825993964,对线分路,0.9,00:00-05:00,天辉：电炎绝手；夜魇：无,分路结果：中路 (mid); 无>1min次要路,
11,8825993964,对线分路,0.9,00:00-05:00,天辉：无；夜魇：拉比克,分路结果：劣势路 (bot); 无>1min次要路,
12,8825993964,对线分路,0.9,00:00-05:00,天辉：无；夜魇：树精卫士,分路结果：优势路 (top); 无>1min次要路,
13,8825993964,对线分路,0.9,00:00-05:00,天辉：无；夜魇：祈求者,分路结果：中路 (mid); 无>1min次要路,
14,8825993964,对线分路,0.9,00:00-05:00,天辉：无；夜魇：酒仙,分路结果：劣势路 (bot); 无>1min次要路,
15,8825993964,对线分路,0.9,00:00-05:00,天辉：无；夜魇：风行者,分路结果：优势路 (top); 无>1min次要路,
16,8825993964,控符,0.88,00:03-00:08,夜魇赏金符点附近： FLCN(天辉)： 无; GLYPH(夜魇)： 风行者,风行者拾取夜魇赏金神符,
17,8825993964,小规模冲突,0.7,00:41-00:49,天辉：朗戈、玛尔斯；夜魇：树精卫士、风行者,击杀结果：天辉 0 - 0 夜魇；死亡：无,
18,8825993964,控符,0.88,01:58-02:03,下符点附近： FLCN(天辉)： 无; GLYPH(夜魇)： 祈求者,祈求者反补水符,
19,8825993964,小规模冲突,0.7,03:10-03:14,天辉：小小、巫妖；夜魇：拉比克、树精卫士、祈求者、酒仙,击杀结果：天辉 0 - 1 夜魇；死亡：03:14 巫妖,
20,8825993964,小规模冲突,0.76,03:55-04:15,天辉：玛尔斯；夜魇：树精卫士、风行者,击杀结果：天辉 0 - 1 夜魇；死亡：04:15 玛尔斯,
21,8825993964,控符,0.88,03:56-04:01,下符点附近： FLCN(天辉)： 无; GLYPH(夜魇)： 祈求者,祈求者拾取水符,
22,8825993964,囤野/堆野,0.72,03:56-04:06,天辉：无；夜魇：拉比克,,
23,8825993964,控符,0.88,04:01-04:06,上符点附近： FLCN(天辉)： 电炎绝手; GLYPH(夜魇)： 无,电炎绝手罐装水符,
24,8825993964,小规模冲突,0.7,04:20-04:39,天辉：小小、巫妖、电炎绝手；夜魇：拉比克、祈求者、酒仙,击杀结果：天辉 0 - 0 夜魇；死亡：无,
