id,match_id,labels,confidence,time_range,heroes,结果,批注
1,8825996999,开雾,0.86,-00:43--00:27,天辉：兽王、恐怖利刃、拉比克、石鳞剑士、神谕者；夜魇：无,"使用: PARI(天辉) 神谕者; 进入: 兽王, 神谕者, 石鳞剑士, 拉比克, 恐怖利刃；位置：中路/河道 raw=(131,102) game=(350,-3372)",
2,8825996999,开雾,0.86,-00:40--00:27,天辉：无；夜魇：凤凰、发条技师、电炎绝手、风行者、魅惑魔女,"使用: OG(夜魇) 魅惑魔女; 进入: 魅惑魔女, 凤凰, 发条技师, 电炎绝手, 风行者；位置：中路/河道 raw=(121,152) game=(-890,3022)",
3,8825996999,控符,0.88,00:00-00:00,夜魇赏金符点附近： PARI(天辉)： 无; OG(夜魇)： 风行者,风行者拾取夜魇赏金神符,
4,8825996999,控符,0.88,00:00-00:00,夜魇赏金符点附近： PARI(天辉)： 无; OG(夜魇)： 魅惑魔女,魅惑魔女拾取夜魇赏金神符,
5,8825996999,控符,0.88,00:00-00:00,天辉赏金符点附近： PARI(天辉)： 恐怖利刃; OG(夜魇)： 无,恐怖利刃拾取天辉赏金神符,
6,8825996999,对线分路,0.9,00:00-05:00,天辉：无；夜魇：凤凰,分路结果：劣势路 (bot); 无>1min次要路,
7,8825996999,对线分路,0.9,00:00-05:00,天辉：无；夜魇：发条技师,分路结果：劣势路 (bot); 无>1min次要路,
8,8825996999,对线分路,0.9,00:00-05:00,天辉：无；夜魇：电炎绝手,分路结果：中路 (mid); 无>1min次要路,
9,8825996999,对线分路,0.9,00:00-05:00,天辉：无；夜魇：风行者,分路结果：优势路 (top); 无>1min次要路,
10,8825996999,对线分路,0.9,00:00-05:00,天辉：无；夜魇：魅惑魔女,分路结果：优势路 (top); 无>1min次要路,
11,8825996999,对线分路,0.9,00:00-05:00,天辉：兽王；夜魇：无,分路结果：劣势路 (top); 无>1min次要路,
12,8825996999,对线分路,0.9,00:00-05:00,天辉：恐怖利刃；夜魇：无,分路结果：优势路 (bot); 无>1min次要路,
13,8825996999,对线分路,0.9,00:00-05:00,天辉：拉比克；夜魇：无,分路结果：劣势路 (top); 无>1min次要路,
14,8825996999,对线分路,0.9,00:00-05:00,天辉：石鳞剑士；夜魇：无,分路结果：中路 (mid); 无>1min次要路,
15,8825996999,对线分路,0.9,00:00-05:00,天辉：神谕者；夜魇：无,分路结果：优势路 (bot); 无>1min次要路,
16,8825996999,控符,0.88,00:02-00:07,天辉赏金符点附近： PARI(天辉)： 神谕者; OG(夜魇)： 无,神谕者拾取天辉赏金神符,
17,8825996999,囤野/堆野,0.72,01:56-02:06,天辉：兽王；夜魇：无,,
18,8825996999,控符,0.88,02:12-02:17,上符点附近： PARI(天辉)： 无; OG(夜魇)： 电炎绝手,电炎绝手罐装水符,
19,8825996999,控符,0.88,02:26-02:31,下符点附近： PARI(天辉)： 石鳞剑士; OG(夜魇)： 无,石鳞剑士罐装水符,
